epoch,curr_step,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
148,3,1.654429e+00,,3.154529e-05,100.00,15.035
149,3,2.131251e+00,1.577371e+00,3.040872e-05,100.00,17.666
150,4,6.512266e+00,,2.928932e-05,100.00,15.491
151,4,3.677223e+00,,2.818737e-05,100.00,15.152
152,4,1.010871e+01,,2.710314e-05,100.00,15.975
153,4,3.787095e+00,,2.603689e-05,100.00,15.269
154,4,7.860253e+00,3.233119e+00,2.498889e-05,69.00,18.316
155,4,5.958336e+00,,2.395940e-05,100.00,15.633
156,4,1.867488e+00,,2.294868e-05,100.00,15.074
157,4,5.146385e+00,,2.195696e-05,100.00,15.293
158,4,3.399633e+00,,2.098450e-05,100.00,15.104
159,4,3.682855e+00,1.641699e+00,2.003153e-05,44.00,17.812
160,4,2.706315e+00,,1.909830e-05,100.00,15.447
161,4,1.113689e+00,,1.818503e-05,100.00,14.935
162,4,8.399703e+00,,1.729194e-05,100.00,15.972
163,4,3.242784e+00,,1.641926e-05,100.00,15.131
164,4,3.398390e+00,7.966859e+00,1.556721e-05,100.00,17.881
165,4,1.269167e+00,,1.473598e-05,100.00,14.896
166,4,3.926566e+00,,1.392580e-05,100.00,15.536
167,4,6.123316e+00,,1.313685e-05,100.00,15.547
168,4,3.509071e+00,,1.236933e-05,100.00,15.284
169,4,1.247733e+00,8.147673e+00,1.162344e-05,100.00,17.298
170,4,3.626502e+00,,1.089935e-05,100.00,15.363
171,4,3.361782e+00,,1.019724e-05,100.00,15.277
172,4,6.610669e+00,,9.517295e-06,100.00,15.779
173,4,2.604190e+00,,8.859672e-06,100.00,15.340
174,4,3.170264e+00,2.868221e+00,8.224537e-06,49.00,17.646
175,4,2.242563e+00,,7.612047e-06,100.00,15.291
176,4,3.129897e+00,,7.022351e-06,100.00,15.290
177,4,2.032271e+00,,6.455597e-06,100.00,15.167
178,4,3.198277e+00,,5.911923e-06,100.00,15.297
179,4,3.763611e+00,1.587152e+00,5.391464e-06,100.00,17.922
180,4,1.054113e+00,,4.894348e-06,100.00,14.771
181,4,4.450377e+00,,4.420699e-06,100.00,15.450
182,4,1.720294e+00,,3.970631e-06,100.00,15.091
183,4,3.553041e+00,,3.544258e-06,100.00,15.404
184,4,2.044135e+00,7.621885e+00,3.141684e-06,100.00,17.691
185,4,5.198046e+00,,2.763008e-06,100.00,15.723
186,4,2.366661e+00,,2.408324e-06,100.00,15.219
187,4,1.539640e+00,,2.077719e-06,100.00,14.901
188,4,4.819517e+00,,1.771275e-06,100.00,15.582
189,4,3.803827e+00,8.702769e-01,1.489067e-06,49.00,17.951
190,4,1.370348e+00,,1.231166e-06,100.00,14.830
191,4,3.508043e+00,,9.976342e-07,100.00,15.298
192,4,1.529789e+00,,7.885299e-07,100.00,14.857
193,4,3.114570e+00,,6.039045e-07,100.00,15.108
194,4,4.536762e+00,7.648197e+00,4.438035e-07,100.00,17.833
195,4,4.750817e+00,,3.082666e-07,100.00,15.420
196,4,4.676802e+00,,1.973272e-07,100.00,15.421
197,4,6.080705e+00,,1.110125e-07,100.00,15.665
198,4,6.542387e+00,,4.934396e-08,100.00,15.826
199,4,3.078093e+00,8.876629e-01,1.233675e-08,15.00,17.379
